Month,Sales,Exponential Estimate,log(Sales),Linear Estimate,SSE,Y=alpha*exp(beta*X),
99,3194,3329.742904,8.069029329,8.110650374,,,
100,3366,3495.27511,8.121480375,8.159167367,,,
101,4527,3669.036452,8.417814747,8.20768436,,,
102,3687,3851.436029,8.212568398,8.256201352,,,
103,3802,4042.903274,8.243282523,8.304718345,,,
104,5047,4243.888971,8.526549286,8.353235338,,,
105,3403,4454.866311,8.132412675,8.401752331,,,
106,4362,4676.332012,8.380685947,8.450269323,,,
107,5631,4908.807484,8.636042325,8.498786316,,,
108,3431,5152.840057,8.140607043,8.547303309,,,
109,4268,5409.004273,8.358900612,8.595820302,,,
110,4874,5677.903234,8.491670234,8.644337295,,,
111,6156,5960.170025,8.725182495,8.692854287,,,
112,4477,6256.469205,8.406708458,8.74137128,,,
113,9490,6567.498367,9.157993892,8.789888273,,,
114,5758,6893.989788,8.658345471,8.838405266,,,
115,5447,7236.712145,8.602820277,8.886922259,,,
116,7286,7596.472329,8.893709978,8.935439251,,,
117,8587,7974.117348,9.058004711,8.983956244,,,
118,10085,8370.536312,9.21880445,9.032473237,,,
119,10775,8786.662535,9.284983915,9.08099023,,,
120,7275,9223.475728,8.892199092,9.129507222,,,
